layer,depth,auroc,ci_lo,ci_hi,cv_auroc,bal_acc,tpr_at_1pct_fpr,C
1,0.03571428571428571,0.9970703125,0.9895642782950186,1.0,0.9984215712622054,0.9947916666666667,0.71875,0.01
2,0.07142857142857142,0.9921875,0.9742892156862745,1.0,0.9968377676251905,0.9947916666666667,0.25,0.0001
3,0.10714285714285714,0.9979383680555556,0.992809572104704,1.0,0.9982119501926006,0.9947916666666667,0.8020833333333334,0.01
4,0.14285714285714285,0.9921875,0.973932381316673,1.0,0.998478903520559,0.9947916666666667,0.25,0.0001
5,0.17857142857142858,0.9918619791666667,0.972944228314385,1.0,0.9992949923855594,0.9947916666666667,0.21875,0.0001
6,0.21428571428571427,0.9896918402777778,0.9666625615763547,1.0,0.9987055451043625,0.9947916666666667,0.010416666666666666,0.0001
7,0.25,0.9899088541666667,0.967961701922148,1.0,0.998383946967661,0.9947916666666667,0.03125,0.0001
8,0.2857142857142857,0.9900173611111112,0.9682913482290483,1.0,0.9985989429364865,0.9947916666666667,0.041666666666666664,0.0001
9,0.32142857142857145,0.9929470486111112,0.976562245576422,1.0,0.9990826838663441,0.9947916666666667,0.3229166666666667,0.0001
10,0.35714285714285715,0.9945746527777778,0.9817522198870011,1.0,0.9992985756517065,0.9947916666666667,0.4791666666666667,0.0001
11,0.39285714285714285,0.9997829861111112,0.9990224110171928,1.0,0.9999453551912568,0.9947916666666667,0.9791666666666666,0.001
12,0.42857142857142855,0.9989149305555556,0.9960518297164882,1.0,0.9999453551912568,0.9947916666666667,0.8958333333333334,0.0001
13,0.4642857142857143,0.9994574652777778,0.9977124183006536,1.0,1.0,0.9947916666666667,0.9479166666666666,0.001
14,0.5,0.9996744791666667,0.9984702797202797,1.0,0.9999462510077937,0.9947916666666667,0.96875,0.001
15,0.5357142857142857,0.9996744791666667,0.9984702797202797,1.0,0.9999462510077937,0.9947916666666667,0.96875,0.001
16,0.5714285714285714,0.9997829861111112,0.9989144240027186,1.0,0.9998925020155871,0.9947916666666667,0.9791666666666666,0.001
17,0.6071428571428571,1.0,0.9999999999999999,1.0,0.9998387530233808,0.9947916666666667,1.0,0.001
18,0.6428571428571429,1.0,0.9999999999999999,1.0,0.9998387530233808,0.9947916666666667,1.0,0.1
19,0.6785714285714286,1.0,0.9999999999999999,1.0,0.9998387530233808,0.9947916666666667,1.0,0.01
20,0.7142857142857143,1.0,0.9999999999999999,1.0,0.9998387530233808,0.9947916666666667,1.0,0.01
21,0.75,0.9998914930555556,0.9993478260869565,1.0,0.9998387530233808,0.9947916666666667,0.9895833333333334,0.01
22,0.7857142857142857,0.9998914930555556,0.9993478260869565,1.0,0.9997850040311743,0.9947916666666667,0.9895833333333334,0.01
23,0.8214285714285714,0.9998914930555556,0.9993478260869565,1.0,0.9998387530233808,0.9947916666666667,0.9895833333333334,0.01
24,0.8571428571428571,1.0,0.9999999999999999,1.0,0.9997850040311743,0.9947916666666667,1.0,0.01
25,0.8928571428571429,0.9998914930555556,0.9993478260869565,1.0,0.9998925020155871,0.9947916666666667,0.9895833333333334,0.1
26,0.9285714285714286,1.0,0.9999999999999999,1.0,0.9998925020155871,0.9947916666666667,1.0,0.1
27,0.9642857142857143,1.0,0.9999999999999999,1.0,0.9998925020155871,0.9947916666666667,1.0,0.1
28,1.0,1.0,0.9999999999999999,1.0,0.9998925020155871,0.9947916666666667,1.0,0.1
