layer,depth,cos_clean,cos_insample,auroc_jbb_matched,auroc_ood_harmful
1,0.03571428571428571,0.43216586112976074,-0.5493983030319214,0.6962244897959184,0.02367870225013084
2,0.07142857142857142,0.27890443801879883,-0.5075505971908569,0.7293877551020409,0.011067503924646789
3,0.10714285714285714,0.38077443838119507,-0.4439101815223694,0.7787755102040816,0.007195185766614345
4,0.14285714285714285,0.1576172411441803,-0.5792324542999268,0.7621428571428571,0.009157509157509167
5,0.17857142857142858,0.1684173345565796,-0.5128777027130127,0.763469387755102,0.006514913657770807
6,0.21428571428571427,-0.04644512012600899,-0.6625850796699524,0.7739795918367348,0.004814233385661962
7,0.25,0.007658829912543297,-0.5902631878852844,0.7859183673469388,0.007247514390371541
8,0.2857142857142857,0.19702517986297607,-0.5101040601730347,0.7894897959183674,0.005520669806384097
9,0.32142857142857145,0.25159943103790283,-0.35662686824798584,0.7753061224489796,0.007823129251700688
10,0.35714285714285715,0.32205522060394287,-0.30974188446998596,0.7777551020408163,0.011695447409733134
11,0.39285714285714285,0.3918326795101166,-0.06027080863714218,0.8368367346938775,0.009157509157509163
12,0.42857142857142855,0.47340649366378784,0.12468975782394409,0.8380612244897959,0.02422815279958138
13,0.4642857142857143,0.5427818298339844,0.20855873823165894,0.8294897959183674,0.043432757718472007
14,0.5,0.595954954624176,0.41424286365509033,0.8784693877551021,0.07182103610675038
15,0.5357142857142857,0.6931371688842773,0.5768226981163025,0.8835714285714287,0.08069073783359498
16,0.5714285714285714,0.7886657118797302,0.6864676475524902,0.9176530612244898,0.1130298273155416
17,0.6071428571428571,0.8704991936683655,0.8124694228172302,0.9241836734693878,0.1556514913657771
18,0.6428571428571429,0.8922879695892334,0.8780413866043091,0.9182653061224489,0.16630036630036632
19,0.6785714285714286,0.9179774522781372,0.9295973181724548,0.931734693877551,0.16200941915227626
20,0.7142857142857143,0.8974651098251343,0.9312688112258911,0.9293877551020409,0.12912087912087913
21,0.75,0.8905876874923706,0.9321516752243042,0.9337755102040817,0.17883307169021456
22,0.7857142857142857,0.9028677940368652,0.9499214887619019,0.9368367346938775,0.14931972789115647
23,0.8214285714285714,0.9123492240905762,0.9673666954040527,0.9335714285714285,0.19021454735740448
24,0.8571428571428571,0.9092079401016235,0.968759298324585,0.9311224489795917,0.1823914181057038
25,0.8928571428571429,0.9110559225082397,0.9697664976119995,0.9372448979591836,0.11789638932496076
26,0.9285714285714286,0.9100543260574341,0.9738523960113525,0.9295918367346938,0.13029827315541603
27,0.9642857142857143,0.8974385261535645,0.9698872566223145,0.9354081632653062,0.18301936159079016
28,1.0,0.8647575974464417,0.954520583152771,0.928265306122449,0.15536368393511252
