k,rank_actual,ref_erased,harm_retrain,ci_lo,ci_hi,harm_random
1,1,0.9980880801687763,0.92609375,0.8623999999999999,0.9731033057851239,0.93203125
2,2,0.9992747890295358,0.92125,0.8524,0.9697954545454546,0.9321875
4,4,0.9831882911392406,0.9196875000000001,0.8511700000000001,0.9695929752066116,0.9314062499999999
8,8,0.9462025316455696,0.9146875,0.8496,0.9728099173553718,0.93140625
16,16,0.8575290084388185,0.8964062500000001,0.8368,0.9661157024793389,0.93296875
